backbone.levels.2.blocks.0.mlp.fc2.weight	torch.Size([1280, 5120])
backbone.levels.2.blocks.0.mlp.fc2.bias	torch.Size([1280])
backbone.levels.2.blocks.0.res_post_norm1.0.weight	torch.Size([1280])
backbone.levels.2.blocks.0.res_post_norm1.0.bias	torch.Size([1280])
backbone.levels.2.blocks.0.res_post_norm2.0.weight	torch.Size([1280])
backbone.levels.2.blocks.0.res_post_norm2.0.bias	torch.Size([1280])
backbone.levels.2.blocks.1.norm1.0.weight	torch.Size([1280])
backbone.levels.2.blocks.1.norm1.0.bias	torch.Size([1280])
backbone.levels.2.blocks.1.dcn.offset.bias	torch.Size([720])
backbone.levels.2.blocks.1.dcn.center_feature_scale_proj_weight	torch.Size([40, 1280])
backbone.levels.2.blocks.1.dcn.center_feature_scale_proj_bias	torch.Size([40])
backbone.levels.2.blocks.1.dcn.dw_conv.0.weight	torch.Size([1280, 1, 5, 5])
backbone.levels.2.blocks.1.dcn.dw_conv.0.bias	torch.Size([1280])
backbone.levels.2.blocks.1.dcn.dw_conv.1.1.weight	torch.Size([1280])
backbone.levels.2.blocks.1.dcn.dw_conv.1.1.bias	torch.Size([1280])
backbone.levels.2.blocks.1.dcn.offset.weight	torch.Size([720, 1280])
backbone.levels.2.blocks.1.dcn.mask.weight	torch.Size([360, 1280])
backbone.levels.2.blocks.1.dcn.mask.bias	torch.Size([360])
backbone.levels.2.blocks.1.dcn.input_proj.weight	torch.Size([1280, 1280])
backbone.levels.2.blocks.1.dcn.input_proj.bias	torch.Size([1280])
backbone.levels.2.blocks.1.dcn.output_proj.weight	torch.Size([1280, 1280])
backbone.levels.2.blocks.1.dcn.output_proj.bias	torch.Size([1280])
backbone.levels.2.blocks.1.norm2.0.weight	torch.Size([1280])
backbone.levels.2.blocks.1.norm2.0.bias	torch.Size([1280])
backbone.levels.2.blocks.1.mlp.fc1.weight	torch.Size([5120, 1280])
